"previous_year_rating";"education = Below Secondary";"employee_id";"department";"region";"gender";"recruitment_channel";"no_of_trainings";"age";"length_of_service";"awards_won?";"avg_training_score";"is_promoted"
1.0;1;15717;"Technology";"region_2";"f";"other";1;24;2;0;74;"No"
3.0;0;47740;"Sales & Marketing";"region_15";"m";"sourcing";1;31;6;0;44;"No"
1.0;0;65198;"Sales & Marketing";"region_31";"m";"other";1;34;5;0;48;"No"
4.0;0;49777;"HR";"region_2";"m";"sourcing";1;29;2;0;48;"No"
1.0;0;19050;"Analytics";"region_31";"f";"other";1;27;4;0;88;"No"
1.0;0;11567;"Sales & Marketing";"region_26";"m";"other";1;31;4;0;48;"No"
3.0;0;44971;"Sales & Marketing";"region_16";"m";"other";1;37;4;0;47;"No"
3.0;1;29682;"Operations";"region_7";"m";"other";1;25;2;0;61;"No"
4.0;0;66827;"Operations";"region_2";"f";"sourcing";1;36;2;0;60;"No"
3.0;1;35067;"Technology";"region_2";"m";"sourcing";1;30;2;0;81;"No"
1.0;0;9852;"Sales & Marketing";"region_26";"m";"other";1;36;7;0;46;"No"
3.1974214343271554;0;39147;"Sales & Marketing";"region_16";"m";"sourcing";2;23;1;0;50;"No"
5.0;1;50741;"Procurement";"region_7";"m";"other";3;25;2;0;70;"No"
3.1974214343271554;1;1234;"Technology";"region_2";"m";"other";3;23;1;0;82;"Yes"
3.0;0;74391;"Sales & Marketing";"region_22";"m";"sourcing";2;28;5;0;52;"No"
3.0;0;34583;"Operations";"region_2";"f";"sourcing";1;47;8;0;57;"No"
3.1974214343271554;1;39223;"Operations";"region_2";"m";"other";1;23;1;0;62;"No"
3.0;0;32182;"Sales & Marketing";"region_2";"f";"other";2;25;2;0;49;"No"
3.0;0;64544;"Technology";"region_2";"m";"sourcing";1;26;3;0;80;"No"
4.0;0;56313;"Analytics";"region_22";"f";"other";1;28;2;0;83;"No"
3.1974214343271554;0;73283;"Analytics";"region_22";"m";"other";1;25;1;0;87;"No"
1.0;0;693;"Sales & Marketing";"region_2";"m";"sourcing";1;42;4;0;49;"No"
5.0;0;44105;"Sales & Marketing";"region_28";"m";"other";1;34;7;0;53;"Yes"
3.1974214343271554;0;50560;"Sales & Marketing";"region_2";"m";"sourcing";2;24;1;0;54;"No"
5.0;0;42205;"Sales & Marketing";"region_2";"m";"other";1;20;2;0;43;"No"
3.0;1;24075;"Finance";"region_2";"f";"other";1;25;2;0;58;"No"
3.1974214343271554;1;76331;"HR";"region_2";"f";"sourcing";1;22;1;0;49;"No"
3.1974214343271554;0;51411;"Sales & Marketing";"region_22";"m";"sourcing";1;23;1;0;49;"No"
3.1974214343271554;1;2703;"Procurement";"region_2";"m";"other";1;26;1;0;69;"No"
3.0;0;50888;"Operations";"region_22";"m";"sourcing";1;28;6;0;60;"No"
4.0;0;42028;"Analytics";"region_2";"m";"other";1;38;11;0;84;"No"
3.0;1;74122;"HR";"region_7";"f";"sourcing";1;24;2;0;49;"No"
3.1974214343271554;1;8846;"Operations";"region_22";"f";"sourcing";2;23;1;0;60;"No"
4.0;1;54424;"Operations";"region_7";"m";"other";1;26;2;0;62;"No"
5.0;0;328;"Sales & Marketing";"region_7";"m";"other";1;27;2;0;51;"No"
1.0;0;16999;"Sales & Marketing";"region_15";"m";"other";1;26;5;0;50;"No"
4.0;0;10324;"Sales & Marketing";"region_2";"m";"sourcing";1;50;19;0;50;"No"
4.0;1;69362;"Operations";"region_22";"f";"other";1;26;2;0;58;"No"
5.0;0;67891;"Sales & Marketing";"region_2";"m";"sourcing";1;23;2;0;64;"Yes"
5.0;1;35301;"Legal";"region_22";"m";"other";1;24;1;0;58;"No"
3.0;1;63252;"Procurement";"region_2";"f";"sourcing";1;22;2;0;72;"No"
5.0;0;51271;"R&D";"region_22";"m";"other";1;29;2;0;83;"Yes"
3.1974214343271554;0;48958;"Sales & Marketing";"region_13";"m";"other";1;29;1;0;47;"No"
2.0;0;7244;"Sales & Marketing";"region_32";"m";"sourcing";1;28;9;0;51;"No"
3.1974214343271554;1;39208;"Operations";"region_2";"f";"sourcing";1;24;1;0;54;"No"
5.0;0;21625;"Sales & Marketing";"region_2";"m";"referred";1;24;3;0;56;"No"
3.0;0;4586;"Sales & Marketing";"region_26";"m";"other";2;24;2;0;52;"No"
2.0;0;37557;"Sales & Marketing";"region_2";"m";"sourcing";1;47;12;0;48;"No"
1.0;0;47478;"Sales & Marketing";"region_15";"m";"sourcing";1;40;15;0;47;"No"
2.0;0;17112;"Sales & Marketing";"region_25";"m";"sourcing";1;35;7;0;52;"No"
3.1974214343271554;0;29435;"Analytics";"region_22";"m";"sourcing";2;22;1;0;84;"No"
3.1974214343271554;0;7456;"Sales & Marketing";"region_1";"m";"other";1;28;1;0;48;"No"
3.0;0;49934;"Sales & Marketing";"region_25";"m";"other";1;30;5;0;49;"No"
1.0;0;31649;"Sales & Marketing";"region_26";"m";"other";1;26;3;0;55;"No"
3.1974214343271554;0;14085;"Sales & Marketing";"region_16";"m";"sourcing";1;22;1;0;61;"Yes"
5.0;0;67122;"Sales & Marketing";"region_2";"f";"other";1;43;11;0;46;"Yes"
5.0;0;20258;"Analytics";"region_29";"m";"sourcing";1;28;2;0;83;"No"
3.1974214343271554;0;34143;"Sales & Marketing";"region_7";"m";"sourcing";1;22;1;0;49;"No"
5.0;0;5510;"Operations";"region_15";"m";"sourcing";1;34;8;0;61;"No"
5.0;0;37617;"Sales & Marketing";"region_23";"m";"other";1;39;13;0;52;"No"
1.0;1;68833;"HR";"region_2";"f";"sourcing";1;26;2;0;47;"No"
3.1974214343271554;0;500;"Sales & Marketing";"region_2";"m";"sourcing";1;20;1;0;53;"No"
1.0;0;28801;"Sales & Marketing";"region_15";"m";"sourcing";1;29;2;0;49;"No"
3.0;1;53472;"Technology";"region_7";"m";"other";2;24;2;0;84;"No"
3.1974214343271554;1;40229;"Procurement";"region_7";"f";"sourcing";1;25;1;0;71;"No"
3.1974214343271554;1;41956;"Finance";"region_2";"m";"other";2;21;1;0;60;"No"
3.1974214343271554;0;17781;"Sales & Marketing";"region_31";"m";"other";1;23;1;0;47;"Yes"
4.0;1;53761;"Legal";"region_2";"m";"sourcing";1;28;2;0;63;"No"
4.0;0;68499;"Operations";"region_7";"m";"sourcing";1;35;2;1;71;"Yes"
3.1974214343271554;0;13605;"Operations";"region_2";"m";"other";1;25;1;0;58;"No"
3.0;0;63866;"Analytics";"region_15";"m";"other";2;28;3;0;85;"No"
3.0;0;58555;"Operations";"region_2";"f";"sourcing";1;33;7;0;61;"No"
1.0;0;6163;"Sales & Marketing";"region_7";"f";"sourcing";2;26;3;0;54;"No"
5.0;1;55491;"Finance";"region_2";"m";"other";2;23;1;0;61;"No"
3.1974214343271554;1;12042;"Procurement";"region_2";"m";"sourcing";1;20;1;0;74;"No"
4.0;0;25101;"Sales & Marketing";"region_11";"m";"other";1;37;10;0;48;"No"
1.0;0;74407;"Sales & Marketing";"region_26";"m";"other";1;30;3;0;51;"No"
3.1974214343271554;1;40298;"HR";"region_22";"f";"sourcing";1;23;1;0;53;"No"
2.0;0;55331;"Analytics";"region_22";"m";"other";1;28;2;0;85;"No"
4.0;0;14427;"Sales & Marketing";"region_2";"f";"other";1;23;2;0;52;"No"
5.0;0;68686;"Sales & Marketing";"region_7";"m";"other";1;31;7;0;48;"No"
3.0;0;34435;"Analytics";"region_22";"f";"sourcing";1;26;2;0;87;"No"
3.1974214343271554;0;48212;"Analytics";"region_26";"m";"other";1;28;1;0;81;"No"
2.0;0;16486;"Sales & Marketing";"region_32";"m";"sourcing";1;30;4;0;51;"No"
4.0;0;1103;"Sales & Marketing";"region_11";"m";"other";1;30;7;0;50;"No"
4.0;0;22835;"Operations";"region_2";"f";"other";1;41;3;0;63;"No"
3.1974214343271554;1;5800;"Technology";"region_16";"m";"other";1;22;1;0;81;"No"
1.0;0;21396;"Sales & Marketing";"region_2";"m";"other";1;38;4;0;49;"No"
5.0;0;7900;"Sales & Marketing";"region_2";"m";"other";1;49;5;0;49;"No"
3.1974214343271554;0;45563;"Analytics";"region_22";"m";"sourcing";1;28;1;0;86;"No"
4.0;0;28507;"Sales & Marketing";"region_7";"m";"sourcing";1;36;2;0;50;"No"
3.0;1;23972;"Technology";"region_7";"m";"sourcing";2;24;2;0;82;"No"
3.0;0;24084;"Sales & Marketing";"region_16";"m";"other";2;36;3;0;54;"No"
3.1974214343271554;0;61176;"Analytics";"region_2";"m";"other";1;29;1;0;85;"No"
3.0;0;29592;"Operations";"region_2";"f";"sourcing";1;55;8;0;59;"No"
3.0;0;69680;"Sales & Marketing";"region_14";"m";"other";2;23;2;0;51;"Yes"
1.0;0;68972;"Sales & Marketing";"region_15";"m";"sourcing";1;32;4;0;49;"No"
3.1974214343271554;0;13681;"Analytics";"region_2";"m";"other";2;25;1;0;89;"No"
3.1974214343271554;0;43738;"Sales & Marketing";"region_2";"f";"other";1;20;1;0;48;"No"
5.0;0;25266;"Finance";"region_2";"m";"other";1;39;5;0;57;"No"
3.0;0;52590;"Finance";"region_22";"m";"other";1;27;3;0;58;"No"
3.0;1;38212;"HR";"region_2";"m";"other";1;20;2;0;45;"No"
3.1974214343271554;0;68416;"Sales & Marketing";"region_28";"m";"other";1;28;1;0;67;"Yes"
4.0;0;2563;"Sales & Marketing";"region_2";"m";"other";1;60;6;0;52;"No"
3.0;0;37504;"Sales & Marketing";"region_28";"m";"sourcing";1;29;5;0;48;"No"
3.0;0;6024;"Analytics";"region_28";"m";"other";1;27;1;0;82;"No"
3.0;0;32547;"Sales & Marketing";"region_22";"m";"sourcing";1;26;2;0;51;"No"
2.0;0;64156;"Sales & Marketing";"region_2";"f";"other";1;51;24;0;48;"No"
3.0;0;27835;"Sales & Marketing";"region_7";"m";"other";1;25;3;0;48;"Yes"
5.0;0;51993;"Sales & Marketing";"region_7";"m";"sourcing";1;25;2;0;52;"No"
3.1974214343271554;0;12155;"Sales & Marketing";"region_7";"m";"other";2;25;1;0;49;"No"
3.0;0;20815;"Sales & Marketing";"region_15";"m";"other";1;31;4;0;47;"No"
5.0;0;7972;"Analytics";"region_32";"m";"sourcing";1;30;4;0;82;"Yes"
2.0;0;27895;"Sales & Marketing";"region_28";"m";"other";1;27;2;0;52;"No"
3.1974214343271554;1;49360;"HR";"region_2";"m";"sourcing";1;20;1;0;50;"No"
1.0;0;13517;"Sales & Marketing";"region_7";"m";"other";1;23;2;0;49;"No"
3.0;1;55043;"Procurement";"region_2";"m";"sourcing";1;26;4;0;67;"No"
3.0;1;63953;"Operations";"region_7";"m";"other";1;26;4;0;64;"No"
3.0;0;44302;"Sales & Marketing";"region_2";"m";"other";1;34;9;0;48;"No"
3.0;0;69141;"Sales & Marketing";"region_15";"m";"other";1;31;5;0;45;"No"
3.0;0;28752;"Analytics";"region_22";"m";"sourcing";1;29;5;0;80;"No"
3.0;1;47793;"Finance";"region_2";"m";"sourcing";3;21;2;0;60;"No"
2.0;0;54827;"Sales & Marketing";"region_28";"m";"other";1;36;4;0;48;"No"
3.1974214343271554;1;48421;"Technology";"region_2";"f";"other";1;23;1;0;76;"No"
5.0;0;26382;"Sales & Marketing";"region_2";"m";"referred";1;25;2;0;46;"No"
5.0;0;20601;"Analytics";"region_2";"m";"sourcing";1;28;8;0;87;"No"
5.0;0;8860;"Sales & Marketing";"region_7";"m";"other";2;25;2;0;44;"No"
3.0;0;28602;"Analytics";"region_22";"m";"sourcing";2;27;2;0;83;"No"
3.0;1;51168;"Legal";"region_7";"m";"sourcing";1;28;2;0;59;"No"
4.0;0;15514;"Sales & Marketing";"region_2";"m";"other";1;32;7;0;50;"No"
3.1974214343271554;1;14634;"Procurement";"region_2";"m";"other";1;25;1;0;72;"No"
5.0;0;49626;"Analytics";"region_2";"m";"sourcing";1;32;5;0;85;"No"
1.0;0;19081;"Sales & Marketing";"region_2";"m";"other";1;58;17;0;53;"No"
3.0;0;37198;"Sales & Marketing";"region_2";"f";"other";1;23;1;0;46;"No"
3.0;0;20980;"Sales & Marketing";"region_31";"m";"other";1;34;4;0;51;"No"
3.0;1;67043;"Operations";"region_2";"m";"sourcing";1;23;2;0;59;"No"
3.0;0;10471;"Sales & Marketing";"region_32";"m";"sourcing";1;34;5;0;46;"No"
5.0;0;22416;"Analytics";"region_2";"m";"sourcing";1;26;5;0;84;"No"
5.0;0;3319;"Analytics";"region_2";"m";"other";1;25;2;0;86;"No"
3.1974214343271554;1;1628;"Finance";"region_7";"m";"other";1;25;1;0;63;"No"
5.0;0;48119;"Procurement";"region_2";"f";"sourcing";1;47;7;0;72;"No"
3.1974214343271554;1;33116;"Technology";"region_16";"m";"other";1;24;1;0;80;"No"
3.0;0;65087;"Sales & Marketing";"region_25";"m";"other";2;24;2;0;50;"No"
5.0;0;33573;"Operations";"region_15";"f";"other";1;31;3;0;66;"No"
4.0;0;47285;"R&D";"region_2";"m";"other";1;25;2;0;85;"No"
4.0;1;61066;"Technology";"region_2";"m";"referred";1;24;3;0;78;"No"
3.0;0;69913;"Analytics";"region_22";"m";"other";1;28;4;0;88;"Yes"
3.0;0;37799;"Sales & Marketing";"region_15";"m";"other";1;35;9;0;49;"No"
4.0;0;35346;"Analytics";"region_2";"m";"other";2;38;4;0;87;"No"
4.0;1;12952;"Procurement";"region_2";"f";"other";1;24;2;0;72;"No"
1.0;1;52929;"HR";"region_2";"m";"sourcing";1;26;2;0;47;"No"
3.1974214343271554;0;55620;"Sales & Marketing";"region_2";"f";"other";1;30;1;0;48;"No"
3.0;1;13740;"Operations";"region_2";"f";"sourcing";1;25;2;0;60;"No"
1.0;0;44501;"Sales & Marketing";"region_2";"m";"sourcing";1;24;3;0;50;"Yes"
3.0;1;58358;"Operations";"region_16";"f";"sourcing";1;24;3;0;61;"No"
2.0;0;38601;"Sales & Marketing";"region_2";"m";"other";1;53;23;0;53;"No"
4.0;0;13765;"Finance";"region_2";"f";"other";1;33;6;0;54;"No"
3.1974214343271554;0;45776;"Sales & Marketing";"region_32";"m";"sourcing";1;24;1;0;51;"No"
3.1974214343271554;0;46368;"Sales & Marketing";"region_32";"m";"other";1;27;1;0;51;"No"
1.0;0;7292;"Sales & Marketing";"region_2";"m";"other";2;48;15;0;48;"No"
3.0;0;4708;"Finance";"region_32";"m";"sourcing";1;30;3;0;57;"No"
2.0;0;46014;"Sales & Marketing";"region_2";"m";"other";1;26;2;0;54;"No"
3.0;0;14090;"Sales & Marketing";"region_2";"f";"other";1;32;7;0;50;"No"
3.1974214343271554;0;47523;"Sales & Marketing";"region_2";"f";"sourcing";1;26;1;0;55;"No"
5.0;1;59518;"Technology";"region_2";"f";"sourcing";2;26;4;0;81;"No"
3.0;0;11167;"Sales & Marketing";"region_16";"m";"other";1;22;2;0;52;"No"
3.0;0;24100;"Analytics";"region_32";"m";"other";2;30;2;0;85;"No"
4.0;0;45045;"Sales & Marketing";"region_26";"f";"sourcing";1;24;2;0;50;"No"
3.1974214343271554;0;22215;"R&D";"region_2";"m";"other";2;25;1;0;84;"No"
3.0;0;61642;"Sales & Marketing";"region_15";"m";"other";2;31;5;0;53;"No"
1.0;0;24481;"Analytics";"region_2";"m";"other";1;36;3;0;88;"No"
3.1974214343271554;1;10406;"Technology";"region_2";"f";"other";1;20;1;0;78;"No"
3.1974214343271554;1;13503;"Legal";"region_2";"m";"other";1;26;1;0;58;"No"
4.0;0;40412;"Sales & Marketing";"region_22";"m";"sourcing";1;28;6;0;46;"No"
1.0;0;69489;"R&D";"region_27";"m";"other";1;27;4;0;80;"No"
3.1974214343271554;0;15773;"Sales & Marketing";"region_2";"f";"sourcing";1;25;1;1;92;"Yes"
3.0;0;44444;"Sales & Marketing";"region_2";"m";"sourcing";1;46;6;0;52;"No"
3.1974214343271554;0;4071;"Sales & Marketing";"region_2";"f";"other";1;22;1;1;51;"No"
4.0;0;38571;"Sales & Marketing";"region_31";"f";"sourcing";1;29;4;1;53;"No"
1.0;1;3759;"Operations";"region_22";"m";"sourcing";1;26;3;1;58;"No"
3.1974214343271554;0;21295;"Sales & Marketing";"region_9";"m";"sourcing";1;28;1;0;54;"No"
1.0;0;11286;"Sales & Marketing";"region_2";"m";"other";2;50;23;0;52;"No"
5.0;0;60773;"Analytics";"region_10";"m";"sourcing";1;28;3;0;86;"Yes"
3.0;0;36233;"Sales & Marketing";"region_7";"m";"sourcing";1;25;2;1;68;"Yes"
4.0;0;71530;"Sales & Marketing";"region_7";"m";"sourcing";1;25;5;0;53;"No"
3.0;0;19085;"Operations";"region_26";"f";"sourcing";1;28;5;0;54;"No"
5.0;0;18631;"Operations";"region_26";"m";"other";1;29;5;0;59;"No"
3.1974214343271554;0;13323;"Sales & Marketing";"region_7";"m";"other";1;30;1;0;49;"Yes"
3.1974214343271554;1;30507;"Procurement";"region_2";"m";"sourcing";1;24;1;0;72;"No"
1.0;1;59191;"Finance";"region_2";"m";"sourcing";1;22;2;0;61;"No"
3.1974214343271554;0;17115;"Sales & Marketing";"region_13";"m";"other";1;24;1;0;52;"No"
4.0;0;72630;"Sales & Marketing";"region_26";"m";"sourcing";1;36;6;0;49;"No"
3.1974214343271554;0;16097;"Sales & Marketing";"region_22";"m";"sourcing";2;24;1;0;51;"No"
3.1974214343271554;1;78084;"HR";"region_22";"f";"other";1;24;1;0;52;"No"
5.0;1;11688;"Technology";"region_5";"f";"sourcing";1;24;2;0;86;"Yes"
5.0;0;27937;"Sales & Marketing";"region_32";"m";"sourcing";1;33;4;0;48;"No"
1.0;0;66035;"Sales & Marketing";"region_2";"m";"sourcing";2;24;2;0;46;"No"
3.0;1;38473;"Finance";"region_2";"m";"sourcing";1;25;2;0;64;"No"
4.0;0;13766;"Sales & Marketing";"region_10";"m";"sourcing";1;28;2;0;48;"No"
3.0;0;17238;"Procurement";"region_2";"f";"other";2;36;10;0;71;"No"
3.0;0;36029;"Sales & Marketing";"region_15";"m";"sourcing";1;30;6;0;45;"No"
3.0;0;49931;"Sales & Marketing";"region_26";"m";"sourcing";1;33;4;0;50;"No"
2.0;0;42869;"Analytics";"region_15";"m";"other";1;31;3;1;83;"No"
3.0;0;43998;"Sales & Marketing";"region_15";"m";"other";1;42;13;0;52;"No"
3.1974214343271554;1;60535;"Technology";"region_7";"m";"sourcing";1;26;1;0;81;"No"
3.1974214343271554;0;35356;"Sales & Marketing";"region_22";"m";"sourcing";1;21;1;0;52;"Yes"
5.0;0;69669;"Sales & Marketing";"region_26";"m";"other";1;29;4;0;50;"No"
4.0;1;11869;"Technology";"region_2";"m";"sourcing";1;25;3;0;76;"No"
1.0;0;66613;"Sales & Marketing";"region_13";"m";"other";1;33;4;1;52;"No"
3.1974214343271554;1;45030;"Operations";"region_2";"m";"other";1;23;1;0;62;"No"
3.0;0;49246;"Sales & Marketing";"region_2";"m";"sourcing";1;31;4;0;53;"No"
1.0;0;33603;"Sales & Marketing";"region_15";"m";"sourcing";1;30;7;0;48;"No"
3.1974214343271554;1;71467;"Technology";"region_26";"m";"other";1;25;1;0;97;"Yes"
5.0;1;31421;"Procurement";"region_2";"f";"other";1;26;3;0;69;"No"
3.0;0;41900;"Sales & Marketing";"region_2";"m";"other";2;25;2;0;53;"No"
1.0;0;16453;"Sales & Marketing";"region_22";"m";"other";1;24;5;0;48;"No"
3.0;0;70323;"Sales & Marketing";"region_2";"m";"sourcing";1;33;7;0;50;"No"
3.0;0;43321;"Analytics";"region_22";"f";"sourcing";1;26;3;0;80;"No"
2.0;0;4343;"Sales & Marketing";"region_2";"m";"other";1;52;23;0;48;"No"
3.1974214343271554;1;48113;"Finance";"region_2";"m";"sourcing";1;25;1;0;60;"No"
3.1974214343271554;0;59101;"Technology";"region_9";"m";"other";1;27;1;0;80;"No"
1.0;0;26963;"Sales & Marketing";"region_2";"m";"sourcing";1;35;6;0;49;"No"
2.0;0;43207;"Sales & Marketing";"region_7";"m";"other";1;26;2;0;55;"No"
3.0;0;17922;"Sales & Marketing";"region_2";"m";"sourcing";2;50;18;0;46;"No"
4.0;1;42370;"HR";"region_2";"f";"other";1;20;2;0;50;"No"
3.0;0;8559;"Sales & Marketing";"region_26";"m";"other";1;28;4;0;49;"No"
2.0;0;63717;"Sales & Marketing";"region_27";"m";"other";1;31;6;0;50;"No"
3.1974214343271554;1;12817;"HR";"region_2";"m";"sourcing";1;20;1;0;49;"No"
